"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000148516",-4.53871229634304,4.17955627547059,-17.4626146742438,1.86433012874739e-14,2.30449847214465e-10
"ENSG00000105825",1.71810568031751,6.92050974216467,13.2797810571417,4.08023721291580e-12,2.52179060944261e-08
"ENSG00000125538",2.29385641186353,6.10103689632233,12.821344872067,7.99211685664618e-12,3.01256142906583e-08
"ENSG00000124102",2.69635536314737,1.17401342183042,12.6882768825269,9.74860101631204e-12,3.01256142906583e-08
"ENSG00000106537",2.19757017534534,4.01551228307733,12.0762507153393,2.48314956581557e-11,6.13884235660924e-08
"ENSG00000236453",2.04776235544554,2.05393080374733,11.9042050119498,3.250602177299e-11,6.69678225226549e-08
"ENSG00000120738",2.28194504792555,6.26311765172813,11.7046086288266,4.45915574570189e-11,7.87423202466016e-08
"ENSG00000108342",2.25076637690594,5.81991882814152,11.4149751811961,7.10545131258154e-11,1.09788104593526e-07
"ENSG00000115009",2.6295463829836,2.28379913418356,11.0610222116,1.27063015895987e-10,1.745139932767e-07
"ENSG00000135525",3.7203533819088,1.93571712014389,10.9082925560338,1.63963296254459e-10,2.02675030500137e-07
"ENSG00000178726",1.6866212791542,5.99783132317261,9.8454815816828,1.03915118349498e-09,1.16772252538013e-06
"ENSG00000168528",1.79698248644806,5.80254698069875,9.73152722653974,1.27661896370207e-09,1.31502391752677e-06
"ENSG00000065618",1.39351928130353,6.48807574091538,9.50857065499681,1.91832065611888e-09,1.82402781771427e-06
"ENSG00000196878",1.60382820126361,8.70377252882125,9.43671348284719,2.19021071704308e-09,1.93379961952639e-06
"ENSG00000105699",3.38328450825007,4.85446914835902,8.72236661053695,8.47378866309288e-09,6.61386462894999e-06
"ENSG00000162511",-2.29517462145714,4.79475619553288,-8.69485809393989,8.93853703416061e-09,6.61386462894999e-06
"ENSG00000109321",1.6749255635539,5.04083082978435,8.68587408288851,9.09600345377799e-09,6.61386462894999e-06
"ENSG00000196154",-2.53891931764958,2.18423468181447,-8.60919303266691,1.05625645995646e-08,7.25354783417881e-06
"ENSG00000135373",3.77235533874325,2.64917835706001,8.01939782066677,3.42249854863064e-08,2.22660550313807e-05
"ENSG00000158769",2.77903783997495,4.16718344805338,7.28339711292872,1.58377605391704e-07,9.78852790123425e-05
"ENSG00000113070",1.69851872479639,6.08857515628844,6.58167958063831,7.29839400547626e-07,0.0004119848463248
"ENSG00000155966",-2.31859447176086,2.19576717440579,-6.57958421419649,7.33247036578399e-07,0.0004119848463248
"ENSG00000187957",1.54090353558558,4.2899081966399,6.02205270282877,2.58171578907031e-06,0.00138750386385644
"ENSG00000091986",-2.56848215290777,4.64169583556912,-5.93349849803448,3.16384003292045e-06,0.00162950944362207
"ENSG00000188064",2.3711531655422,2.90715059404914,5.81239893780115,4.18399966088225e-06,0.00201786831542791
"ENSG00000116852",2.60258978673547,1.81231514549575,5.80621145136929,4.24436341729032e-06,0.00201786831542791
"ENSG00000096696",1.52912679628429,6.64998268489657,5.6453606613611,6.16792917030573e-06,0.00282376935089441
"ENSG00000073756",2.20560612407627,3.4769866151788,5.19786293360822,1.76812257065509e-05,0.00780562967709558
"ENSG00000136960",-1.60371422940525,3.32272828018008,-5.1479275482861,1.99075608232519e-05,0.00848542618400745
"ENSG00000230439",1.83326404952309,2.82130926430011,4.92804679102824,3.36320046827929e-05,0.0138575069961334
"ENSG00000114812",-2.49817214251946,2.08859415455113,-4.76526438142375,4.96824093343414e-05,0.0198104600574772
"ENSG00000119917",-1.45641795329298,4.35964791770747,-4.70818843300476,5.69844922052744e-05,0.0220120408796687
"ENSG00000188910",1.87492990463817,1.94582124596092,4.52545380093033,8.84740545601549e-05,0.0331402360126689
"ENSG00000077942",-1.31788167919973,4.80699283617255,-4.4205890878672,0.000113934660045778,0.0412691129418662
"ENSG00000125731",2.3999058292867,3.01850901260189,4.40341562049473,0.000118755641697277,0.0412691129418662
"ENSG00000158246",-2.42151508001742,0.704333570198215,-4.39843536488672,0.000120191575593171,0.0412691129418662
"ENSG00000154102",1.53793749566354,3.16689995582043,4.27326889604325,0.000162589950953388,0.0537802062408301
"ENSG00000163624",1.77400711536303,3.12512329396454,4.26634616645355,0.00016533029990709,0.0537802062408301
"ENSG00000101307",2.22480994017697,1.9936008696941,4.20159480384852,0.000193306133462064,0.061268131172425
"ENSG00000169252",-1.35687752398084,4.8088792534065,-4.1560610677045,0.000215765365128732,0.0666768919589063
"ENSG00000086730",2.00074564591321,2.97563227770349,4.14085509484249,0.000223831454170012,0.0674824537803784
"ENSG00000147852",2.23741953863582,2.96229741970515,4.09935524846128,0.00024740881080018,0.0715602206401336
"ENSG00000132821",-1.7297868892896,2.85019253251716,-4.09680556953149,0.000248935319757766,0.0715602206401336
"ENSG00000188042",-1.52652365663453,4.03556645675867,-3.90668919601799,0.000393628516829435,0.110088779792821
"ENSG00000081181",1.63688309789952,4.85260542350873,3.89921154873298,0.000400776239032195,0.110088779792821
"ENSG00000100055",2.92892267655849,1.51323259266794,3.82776033270911,0.000475959896036462,0.127898701628407
"ENSG00000197249",1.39109068548634,4.98623171191826,3.79695043887874,0.000512460190903166,0.134777030207533
"ENSG00000131242",2.5620252227119,1.70606174931706,3.7799747750101,0.000533784615637912,0.137460659039588
"ENSG00000078114",-1.75626611725354,3.85893595046587,-3.6655405415131,0.000702160871267648,0.177130827137539
"ENSG00000135643",2.20707651913337,1.43588025693486,3.61516906731431,0.000791980615623152,0.195793447794356
"ENSG00000135636",2.3074729739437,3.22465250584426,3.52282979353336,0.000986936256124248,0.239206256116703
"ENSG00000240694",-2.55204660962587,2.55589199467494,-3.51252746575318,0.0010114419758525,0.240431428144475
"ENSG00000110031",1.49187921470278,5.03645327394403,3.50099669261292,0.00103951356369845,0.242442021903332
"ENSG00000187134",1.36594079089306,2.86342055502521,3.4868255887361,0.00107510430400897,0.246099338923238
"ENSG00000120885",-1.25785598577662,5.33354237862621,-3.44293951327208,0.00119307153896323,0.268137405329537
"ENSG00000118898",-2.01823193359837,0.600750882579171,-3.37801796723509,0.00139114811541294,0.307071104546774
"ENSG00000155893",-1.92409119958217,3.06308627431436,-3.22735847994651,0.00198256846182104,0.429939100992453
"ENSG00000185585",-1.23155560029861,4.43993608388703,-3.17933693865925,0.00221797209471987,0.472695742462626
"ENSG00000130635",-1.64133592128347,5.82289699109672,-3.03942972480309,0.00306857538284128,0.642892547581374
"ENSG00000118242",1.67059865304165,3.7590960490469,3.00403926004285,0.00332924957530735,0.685880900006237
