"genes"	"epiMes_tumor"	"epiMes_cellLine"
"NAP1L3"	"mes"	NA
"NQO1"	"epi"	NA
"NR3C1"	"mes"	NA
"NUAK1"	"mes"	NA
"OCLN"	"epi"	"epi"
"OLFML2B"	"mes"	NA
"OLFML3"	"mes"	NA
"OR7E14P"	"epi"	"epi"
"OVOL2"	"epi"	"epi"
"PCOLCE"	"mes"	NA
"PDGFC"	"mes"	NA
"PDZRN3"	"mes"	NA
"PERP"	"epi"	"epi"
"PHLDA2"	"epi"	NA
"PKP3"	"epi"	"epi"
"PLEKHO1"	"mes"	NA
"PLLP"	"epi"	NA
"PLN"	"mes"	NA
"PLS1"	"epi"	"epi"
"PLXNC1"	"mes"	NA
"PMP22"	"mes"	"mes"
"POF1B"	"epi"	"epi"
"PPAP2C"	"epi"	NA
"PPL"	"epi"	"epi"
"PRR15L"	"epi"	NA
"PRSS8"	"epi"	"epi"
"PTGDS"	"mes"	NA
"PTGIS"	"mes"	NA
"PTK6"	"epi"	"epi"
"PTPRC"	"mes"	NA
"PTPRF"	"epi"	NA
"PTRF"	"mes"	"mes"
"PTX3"	"mes"	NA
"QKI"	"mes"	NA
"RAB11FIP1"	"epi"	"epi"
"RAB25"	"epi"	"epi"
"RAPGEFL1"	"epi"	NA
"RARRES2"	"mes"	NA
"RBM47"	"epi"	"epi"
"RECK"	"mes"	"mes"
"RGS2"	"mes"	NA
"RNF128"	"epi"	NA
"RUNX1T1"	"mes"	NA
"S100A14"	"epi"	"epi"
"S100P"	"epi"	"epi"
"SACS"	"mes"	"mes"
"SAMSN1"	"mes"	NA
"SCNN1A"	"epi"	"epi"
"SDC2"	"mes"	NA
"SDC4"	"epi"	NA
"SEPT6"	"mes"	NA
"SERPINF1"	"mes"	NA
"SERPING1"	"mes"	NA
"SFRP1"	"mes"	NA
"SFRP4"	"mes"	NA
"SH3YL1"	"epi"	"epi"
"SLC16A5"	"epi"	NA
"SLC22A18"	"epi"	NA
